code;class;sex;prevalence
K85;ICD_codes;female;0.00362844702467344
J36;ICD_codes;female;0.00362844702467344
G97;ICD_codes;female;0.00362844702467344
G72;ICD_codes;female;0.00362844702467344
O62;ICD_codes;female;0.00362844702467344
J91;ICD_codes;female;0.00362844702467344
H50;ICD_codes;female;0.00362844702467344
T83;ICD_codes;female;0.00362844702467344
Q89;ICD_codes;female;0.00362844702467344
D02;ICD_codes;female;0.00362844702467344
T18;ICD_codes;female;0.00362844702467344
K50;ICD_codes;female;0.00362844702467344
Z36;ICD_codes;female;0.00362844702467344
K55;ICD_codes;female;0.00362844702467344
H05;ICD_codes;female;0.00362844702467344
251;Phecodes;female;0.003632401017072285
930;Phecodes;female;0.003632401017072285
595;Phecodes;female;0.003632401017072285
568;Phecodes;female;0.003632401017072285
707;Phecodes;female;0.003632401017072285
221;Phecodes;female;0.003632401017072285
963;Phecodes;female;0.003632401017072285
223;Phecodes;female;0.003632401017072285
255;Phecodes;female;0.003632401017072285
857;Phecodes;female;0.003632401017072285
312;Phecodes;female;0.003632401017072285
I15;ICD_codes;both;0.003639304488475536
S51;ICD_codes;both;0.003639304488475536
D61;ICD_codes;both;0.003639304488475536
O21;ICD_codes;both;0.003639304488475536
S72;ICD_codes;both;0.003639304488475536
G97;ICD_codes;both;0.003639304488475536
M91;ICD_codes;both;0.003639304488475536
Z42;ICD_codes;both;0.003639304488475536
B05;ICD_codes;both;0.003639304488475536
C64;ICD_codes;both;0.003639304488475536
C20;ICD_codes;both;0.003639304488475536
